Place	P_min	P_max	T_min	T_max	x_N2_min	x_N2_max	x_O2_min	x_O2_max
Condenser	537.5674797	539.6325203	-178.1638177	-178.1489967	0.998692118	1	0	1.38775E-05
1__Main Tower	537.5674797	539.6325203	-178.1615945	-178.1467736	0.998395651	1	0	1.73175E-05
2__Main Tower	538.1869919	540.2520325	-178.1946324	-178.0790658	0.998004248	1	0	2.59809E-05
3__Main Tower	538.8065041	540.8715447	-178.1776904	-178.0610009	0.997583551	0.999863471	0	3.7662E-05
4__Main Tower	539.4260163	541.4910569	-178.1606164	-178.0426999	0.997130906	0.999581068	0	5.34032E-05
5__Main Tower	540.0455285	542.1105691	-178.1434001	-178.0241374	0.99664327	0.999278219	0	7.46029E-05
6__Main Tower	540.6650407	542.7300813	-178.1260302	-178.0052833	0.996117113	0.998953469	7.98276E-07	0.000103135
7__Main Tower	541.2845528	543.3495935	-178.1084942	-177.9861014	0.99554824	0.998605242	3.75126E-06	0.00014151
8__Main Tower	541.904065	543.9691057	-178.0907787	-177.9665475	0.994931579	0.998231828	7.77076E-06	0.000193085
9__Main Tower	542.5235772	544.5886179	-178.0728689	-177.9465667	0.994260908	0.997831363	1.324E-05	0.000262347
10__Main Tower	543.1430894	545.2081301	-178.0547482	-177.92609	0.993528501	0.997401785	2.06795E-05	0.000355292
11__Main Tower	543.7626016	545.8276423	-178.0363978	-177.9050301	0.992724669	0.996940782	3.0796E-05	0.000479909
12__Main Tower	544.3821138	546.4471545	-178.017796	-177.8832758	0.991837152	0.996445727	4.45493E-05	0.000646844
13__Main Tower	545.001626	547.0666667	-177.9989177	-177.860684	0.990850321	0.99591358	6.32441E-05	0.000870252
14__Main Tower	545.6211382	547.6861789	-177.9797326	-177.8370704	0.989744143	0.99534077	8.8654E-05	0.001168922
15__Main Tower	546.2406504	548.3056911	-177.9602044	-177.8121961	0.988492831	0.994723024	0.000123193	0.001567751
16__Main Tower	546.8601626	548.9252033	-177.9402882	-177.7857512	0.987063109	0.994055138	0.000170149	0.002099644
17__Main Tower	547.4796748	549.5447154	-177.9199277	-177.7573334	0.985411982	0.993330661	0.00023401	0.00280797
18__Main Tower	548.099187	550.1642276	-177.8990512	-177.7264208	0.983483923	0.99254146	0.000320916	0.003749699
19__Main Tower	548.7186992	550.7837398	-177.8775662	-177.692337	0.981207347	0.991677107	0.000439284	0.004999352
20__Main Tower	549.3382114	551.403252	-177.8553515	-177.654209	0.978490298	0.990724035	0.000600699	0.006653896
21__Main Tower	549.9577236	552.0227642	-177.832246	-177.6109152	0.975215277	0.989664338	0.000821167	0.008838682
22__Main Tower	550.5772358	552.6422764	-177.808034	-177.5610244	0.971233305	0.988474078	0.001122906	0.011714388
23__Main Tower	551.196748	553.2617886	-177.7824039	-177.5027617	0.966361583	0.987118673	0.001537739	0.01548319
24__Main Tower	551.8162602	553.8813008	-177.7549665	-177.4338703	0.960368808	0.985555454	0.002108966	0.020398961
25__Main Tower	552.4357724	554.500813	-177.7251793	-177.3515767	0.952973983	0.98372498	0.002897345	0.026773398
26__Main Tower	553.0552846	555.1203252	-177.6922754	-177.2525685	0.943846794	0.981543236	0.00398907	0.034978504
27__Main Tower	553.6747967	555.7398374	-177.6551841	-177.1330066	0.932612477	0.978893305	0.005505967	0.045442596
28__Main Tower	554.2943089	556.3593496	-177.6124166	-176.9886417	0.918868787	0.975613562	0.007619282	0.058633566
29__Main Tower	554.9138211	556.9788618	-177.5619196	-176.8150896	0.902220765	0.971482934	0.010567047	0.07502241
30__Main Tower	555.5333333	557.598374	-177.500905	-176.6083325	0.882339102	0.966204867	0.014673579	0.09501972
31__Main Tower	556.1528455	558.2178862	-177.4256855	-176.3654949	0.859045066	0.959394171	0.020366751	0.118880746
32__Main Tower	556.7723577	558.8373984	-177.3315839	-176.0858876	0.832416955	0.950574899	0.028183955	0.146583365
33__Main Tower	557.3918699	559.4569106	-177.2130283	-175.7721923	0.802898825	0.939202059	0.03875202	0.177699563
34__Main Tower	558.0113821	560.0764228	-177.063989	-175.4314784	0.771374195	0.924722267	0.052722986	0.211302429
35__Main Tower	558.6308943	560.695935	-176.8788956	-175.075576	0.739155017	0.906683039	0.070652946	0.245966552
36__Main Tower	559.2504065	561.3154472	-176.654049	-174.7202969	0.707845058	0.884881935	0.092831802	0.279911651
37__Main Tower	559.8699187	561.9349593	-176.3892738	-174.3832715	0.679078901	0.85951674	0.119106785	0.311292331
38__Main Tower	560.4894309	562.5544715	-176.0892401	-174.0807617	0.654202989	0.831271961	0.148774049	0.338561218
39__Main Tower	561.1089431	563.1739837	-175.4769615	-174.357074	0.682217938	0.775324918	0.208555777	0.308875366
40__Main Tower	561.7284553	563.7934959	-175.7980777	-173.2807636	0.585280842	0.80603559	0.183260314	0.398846765
41__Main Tower	562.3479675	564.4130081	-175.4832132	-172.7866631	0.545876552	0.776309881	0.21120163	0.439349943
42__Main Tower	562.9674797	565.0325203	-175.0991367	-172.3442837	0.512543673	0.741081432	0.245023943	0.474314924
